,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,predict
435,NFLX,2018-10-08 00:00:00+00:00,349.1,352.945,338.11,345.18,12375496.0,349.1,352.945,338.11,345.18,12375496.0,0.0,1.0,349.1
436,NFLX,2018-10-09 00:00:00+00:00,355.71,358.72,347.09,348.48,8754990.0,355.71,358.72,347.09,348.48,8754990.0,0.0,1.0,355.71
437,NFLX,2018-10-10 00:00:00+00:00,325.89,355.15,325.39,353.52,17183120.0,325.89,355.15,325.39,353.52,17183120.0,0.0,1.0,325.89
438,NFLX,2018-10-11 00:00:00+00:00,321.1,334.2,315.81,324.94,16082056.0,321.1,334.2,315.81,324.94,16082056.0,0.0,1.0,321.1
439,NFLX,2018-10-12 00:00:00+00:00,339.56,341.3,328.9,339.57,14870830.0,339.56,341.3,328.9,339.57,14870830.0,0.0,1.0,339.56
440,NFLX,2018-10-15 00:00:00+00:00,333.13,339.2057,326.93,337.63,11214956.0,333.13,339.2057,326.93,337.63,11214956.0,0.0,1.0,333.13
441,NFLX,2018-10-16 00:00:00+00:00,346.4,347.95,330.555,337.24,20156418.0,346.4,347.95,330.555,337.24,20156418.0,0.0,1.0,346.4
442,NFLX,2018-10-17 00:00:00+00:00,364.7,380.0,356.5,378.33,32610947.0,364.7,380.0,356.5,378.33,32610947.0,0.0,1.0,364.69999999999993
443,NFLX,2018-10-18 00:00:00+00:00,346.71,362.2,346.05,360.673,18461040.0,346.71,362.2,346.05,360.673,18461040.0,0.0,1.0,346.71
444,NFLX,2018-10-19 00:00:00+00:00,332.67,355.8,332.2,351.0,16717233.0,332.67,355.8,332.2,351.0,16717233.0,0.0,1.0,332.67
445,NFLX,2018-10-22 00:00:00+00:00,329.54,335.8,320.34,333.1,17097175.0,329.54,335.8,320.34,333.1,17097175.0,0.0,1.0,329.54
446,NFLX,2018-10-23 00:00:00+00:00,333.16,336.58,316.77,318.0,14907326.0,333.16,336.58,316.77,318.0,14907326.0,0.0,1.0,333.1600000000001
447,NFLX,2018-10-24 00:00:00+00:00,301.83,333.0,300.73,332.28,19039297.0,301.83,333.0,300.73,332.28,19039297.0,0.0,1.0,301.83
448,NFLX,2018-10-25 00:00:00+00:00,312.87,319.94,305.25,307.12,13346921.0,312.87,319.94,305.25,307.12,13346921.0,0.0,1.0,312.87
449,NFLX,2018-10-26 00:00:00+00:00,299.83,313.99,292.3,300.51,19616041.0,299.83,313.99,292.3,300.51,19616041.0,0.0,1.0,299.83
450,NFLX,2018-10-29 00:00:00+00:00,284.84,307.89,275.4,305.26,21698841.0,284.84,307.89,275.4,305.26,21698841.0,0.0,1.0,284.84
451,NFLX,2018-10-30 00:00:00+00:00,285.81,290.525,271.2093,275.57,23685702.0,285.81,290.525,271.2093,275.57,23685702.0,0.0,1.0,285.81
452,NFLX,2018-10-31 00:00:00+00:00,301.78,311.5,295.05,297.77,20360342.0,301.78,311.5,295.05,297.77,20360342.0,0.0,1.0,301.78
453,NFLX,2018-11-01 00:00:00+00:00,317.38,318.45,296.67,304.59,15121450.0,317.38,318.45,296.67,304.59,15121450.0,0.0,1.0,317.38
454,NFLX,2018-11-02 00:00:00+00:00,309.1,321.88,308.33,318.0,13404646.0,309.1,321.88,308.33,318.0,13404646.0,0.0,1.0,309.1
455,NFLX,2018-11-05 00:00:00+00:00,315.44,317.53,303.74,311.1,10283044.0,315.44,317.53,303.74,311.1,10283044.0,0.0,1.0,315.44
456,NFLX,2018-11-06 00:00:00+00:00,310.84,320.22,305.3,314.76,9710424.0,310.84,320.22,305.3,314.76,9710424.0,0.0,1.0,310.84
457,NFLX,2018-11-07 00:00:00+00:00,327.5,328.56,311.0,312.9,13328328.0,327.5,328.56,311.0,312.9,13328328.0,0.0,1.0,327.5
458,NFLX,2018-11-08 00:00:00+00:00,317.92,332.0499,316.6103,328.0,11023853.0,317.92,332.0499,316.6103,328.0,11023853.0,0.0,1.0,317.92
459,NFLX,2018-11-09 00:00:00+00:00,303.47,312.98,298.01,311.07,13480792.0,303.47,312.98,298.01,311.07,13480792.0,0.0,1.0,303.47
460,NFLX,2018-11-12 00:00:00+00:00,294.07,302.49,290.63,300.0,10924827.0,294.07,302.49,290.63,300.0,10924827.0,0.0,1.0,294.07
461,NFLX,2018-11-13 00:00:00+00:00,294.4,303.55,289.1,295.0,12232162.0,294.4,303.55,289.1,295.0,12232162.0,0.0,1.0,294.4
462,NFLX,2018-11-14 00:00:00+00:00,286.73,301.84,278.2969,300.4,16853574.0,286.73,301.84,278.2969,300.4,16853574.0,0.0,1.0,286.73
463,NFLX,2018-11-15 00:00:00+00:00,290.06,292.5,282.16,285.51,9967098.0,290.06,292.5,282.16,285.51,9967098.0,0.0,1.0,290.06
464,NFLX,2018-11-16 00:00:00+00:00,286.21,291.72,281.0,287.14,9099485.0,286.21,291.72,281.0,287.14,9099485.0,0.0,1.0,286.21
465,NFLX,2018-11-19 00:00:00+00:00,270.6,285.09,269.15,283.79,12993797.0,270.6,285.09,269.15,283.79,12993797.0,0.0,1.0,270.6
466,NFLX,2018-11-20 00:00:00+00:00,266.98,276.34,250.0,254.63,16693809.0,266.98,276.34,250.0,254.63,16693809.0,0.0,1.0,266.98
467,NFLX,2018-11-21 00:00:00+00:00,262.13,275.34,261.51,274.42,11023037.0,262.13,275.34,261.51,274.42,11023037.0,0.0,1.0,262.13
468,NFLX,2018-11-23 00:00:00+00:00,258.82,265.5,256.84,260.11,5245123.0,258.82,265.5,256.84,260.11,5245123.0,0.0,1.0,258.82
469,NFLX,2018-11-26 00:00:00+00:00,261.43,266.25,253.8,260.55,12498560.0,261.43,266.25,253.8,260.55,12498560.0,0.0,1.0,261.43
470,NFLX,2018-11-27 00:00:00+00:00,266.63,269.08,256.14,259.24,11149501.0,266.63,269.08,256.14,259.24,11149501.0,0.0,1.0,266.63
471,NFLX,2018-11-28 00:00:00+00:00,282.65,284.0,263.34,271.98,14801333.0,282.65,284.0,263.34,271.98,14801333.0,0.0,1.0,282.65
